call_addr	protocol_id	size	function	source
0x180172d4c	0x0054	0x5F	KPlayerClient::DoFinishBidding	JX3LogicEditOperationX64.dll
0x180172dae	0x0050	?	KPlayerClient::DoFinishBidding	JX3LogicEditOperationX64.dll
0x180172e68	0x0031	0x1F	KPlayerClient::DoFinishQuest	JX3LogicEditOperationX64.dll
0x180172f11	0x00E7	0x13	KPlayerClient::DoFollowInviteRespond	JX3LogicEditOperationX64.dll
0x180172f9a	0x007A	?	KPlayerClient::DoFollowInviteRespond	JX3LogicEditOperationX64.dll
0x180172ff1	0x00C2	?	KPlayerClient::DoGameCardBuyCoinRequest	JX3LogicEditOperationX64.dll
0x180173081	0x00C6	?	KPlayerClient::DoGameCardBuyMoneyRequest	JX3LogicEditOperationX64.dll
0x180173111	0x00C4	?	KPlayerClient::DoGameCardCancelRequest	JX3LogicEditOperationX64.dll
0x1801731be	0x00C3	0x13	KPlayerClient::DoGameCardLookupRequest	JX3LogicEditOperationX64.dll
0x180173256	0x00C1	?	KPlayerClient::DoGameCardSellCoinRequest	JX3LogicEditOperationX64.dll
0x1801732f6	0x00C5	?	KPlayerClient::DoGameCardSellMoneyRequest	JX3LogicEditOperationX64.dll
0x180173396	0x0146	?	KPlayerClient::DoGetArenaRankRequest	JX3LogicEditOperationX64.dll
0x18017342c	0x0149	0xC	KPlayerClient::DoGetArenaRecommendListRequest	JX3LogicEditOperationX64.dll
0x1801734d1	0x015C	0x1B	KPlayerClient::DoGetBFRankRequest	JX3LogicEditOperationX64.dll
0x1801735c5	0x0183	0x2F	KPlayerClient::DoGetChatGiftRequest	JX3LogicEditOperationX64.dll
0x180173715	0x0165	?	KPlayerClient::DoGetCoinShopRecommendationRequest	JX3LogicEditOperationX64.dll
0x18017379e	0x0065	?	KPlayerClient::DoGetCoinShopRecommendationRequest	JX3LogicEditOperationX64.dll
0x1801737fd	0x012B	0x13	KPlayerClient::DoGetRoleAFKStateRequest	JX3LogicEditOperationX64.dll
